insular, insular, +
 resent, resent, +
 abhor, abhor, +
 abhorrent, abhorrent, +
 benevolent, benevolent, +
 munificent, munificent, +
 charity, charity, +
 charitable, charitable, +
 generous, generous, +
 generously, generously, +
 obliging, obliging, +
 sympathetic, sympathetic, +
 liberal, liberal, +
 instrumental, instrumental, +
 gainful, gainful, +
 benefit, benefit, +
 beneficial, beneficial, +
 prop, prop, +
 redress, redress, +
 compassion, compassion, +
 assist, assist, +
 extricate, extricate, +
 donate, donate, +
 raise, raise, +
 bestow, bestow, +
 rescue, rescue, +
 champion, champion, +
 salvage, salvage, +
 save, save, +
 adopt, adopt, +
 assert, assert, +
 preserve, preserve, +
 retain, retain, +
 shield, shield, +
 defend, defend, +
 escort, escort, +
 convoy, convoy, +
 safeguard, safeguard, +
 behave, behave, +
 behavior, behavior, +
 conduct, conduct, +
 deport, deport, +
 abstract, abstract, +
 abstraction, abstraction, +
 action, action, +
 shift, shift, +
 dissipate, dissipate, +
 deal, deal, +
 dispose, dispose, +
 bestow, bestow, +
 exert, exert, +
 displace, displace, +
 tackle, tackle, +
 transact, transact, +
 discard, discard, +
 utilize, utilize, +
 harness, harness, +
 arrange, arrange, +
 reject, reject, +
 cancel, cancel, +
 undo, undo, +
 delete, delete, +
 contrive, contrive, +
 implement, implement, +
 effectuate, effectuate, +
 glean, glean, +
 purge, purge, +
 erase, erase, +
 eradicate, eradicate, +
 efface, efface, +
 despatch, despatch, +
 forsake, forsake, +
 adopt, adopt, +
 process, process, +
 scrap, scrap, +
 abandon, abandon, +
 jettison, jettison, +
 impulsive, impulsive, +
 hasten, hasten, +
 urge, urge, +
 prod, prod, +
 stimulate, stimulate, +
 promote, promote, +
 further, further, +
 elicit, elicit, +
 instigate, instigate, +
 encourage, encourage, +
 inspire, inspire, +
 evoke, evoke, +
 arouse, arouse, +
 kindle, kindle, +
 intensify, intensify, +
 fortify, fortify, +
 propel, propel, +
 foment, foment, +
 incite, incite, +
 impulse, impulse, +
 spur, spur, +
 prompt, prompt, +
 due, due, +
 attainment, attainment, +
 gain, gain, +
 obtain, obtain, +
 seize, seize, +
 redeem, redeem, +
 procure, procure, +
 acquire, acquire, +
 acquisitive, acquisitive, +
 elude, elude, +
 elusive, elusive, +
 sly, sly, +
 evade, evade, +
 evasive, evasive, +
 evasion, evasion, +
 escape, escape, +
 shun, shun, +
 eschew, eschew, +
 avoid, avoid, +
 dodge, dodge, +
 avert, avert, +
 insubordinate, insubordinate, +
 defiant, defiant, +
 opposed, opposed, +
 rebellion, rebellion, +
 resist, resist, +
 demur, demur, +
 traverse, traverse, +
 defy, defy, +
 outrageous, outrageous, +
 turbulent, turbulent, +
 riot, riot, +
 defection, defection, +
 uprising, uprising, +
 uproar, uproar, +
 turmoil, turmoil, +
 treason, treason, +
 rebel, rebel, +
 rebellion, rebellion, +
 betray, betray, +
 subvert, subvert, +
 plot, plot, +
 overturn, overturn, +
 exclusion, exclusion, +
 decline, decline, +
 relinquish, relinquish, +
 renounce, renounce, +
 gainsay, gainsay, +
 deny, deny, +
 disclaim, disclaim, +
 reject, reject, +
 submit, submit, +
 submissive, submissive, +
 submission, submission, +
 subjection, subjection, +
 obedience, obedience, +
 succumb, succumb, +
 enthrall, enthrall, +
 defer, defer, +
 lash, lash, +
 sustain, sustain, +
 pervert, pervert, +
 coddle, coddle, +
 entail, entail, +
 inflict, inflict, +
 distort, distort, +
 abuse, abuse, +
 correct, correct, +
 innovation, innovation, +
 modify, modify, +
 modification, modification, +
 ornament, ornament, +
 coax, coax, +
 gild, gild, +
 modulate, modulate, +
 mend, mend, +
 renovate, renovate, +
 substantiate, substantiate, +
 strengthen, strengthen, +
 reinforce, reinforce, +
 garnish, garnish, +
 embellish, embellish, +
 embroider, embroider, +
 temper, temper, +
 adjust, adjust, +
 refine, refine, +
 conciliatory, conciliatory, +
 hurdle, hurdle, +
 barrier, barrier, +
 barricade, barricade, +
 obstacle, obstacle, +
 snag, snag, +
 forestall, forestall, +
 intercede, intercede, +
 intercept, intercept, +
 intervene, intervene, +
 interfere, interfere, +
 meddle, meddle, +
 tamper, tamper, +
 mediate, mediate, +
 balk, balk, +
 hinder, hinder, +
 hamper, hamper, +
 handicap, handicap, +
 incapacitate, incapacitate, +
 prevent, prevent, +
 clog, clog, +
 stunt, stunt, +
 encumber, encumber, +
 obstruct, obstruct, +
 foil, foil, +
 block, block, +
 trace, trace, +
 vestige, vestige, +
 stalk, stalk, +
 entrap, entrap, +
 stationary, stationary, +
 immobile, immobile, +
 fix, fix, +
 fixed, fixed, +
 solidly, solidly, +
 locate, locate, +
 bear, bear, +
 install, install, +
 set, set, +
 sustain, sustain, +
 brace, brace, +
 perceive, perceive, +
 perceptive, perceptive, +
 detect, detect, +
 detectable, detectable, +
 discernible, discernible, +
 inquiry, inquiry, +
 observe, observe, +
 observation, observation, +
 perspective, perspective, +
 insight, insight, +
 investigate, investigate, +
 pierce, pierce, +
 survey, survey, +
 scan, scan, +
 skim, skim, +
 spot, spot, +
 identify, identify, +
 realize, realize, +
 scrutinize, scrutinize, +
 locate, locate, +
 irreconcilable, irreconcilable, +
 indomitable, indomitable, +
 sturdy, sturdy, +
 obstinate, obstinate, +
 bigoted, bigoted, +
 persistent, persistent, +
 inflexible, inflexible, +
 steadfast, steadfast, +
 unshaken, unshaken, +
 durable, durable, +
 tough, tough, +
 headstrong, headstrong, +
 stubborn, stubborn, +
 tenacious, tenacious, +
 resolute, resolute, +
 hardheaded, hardheaded, +
 stoically, stoically, +
 fortitude, fortitude, +
 resist, resist, +
 remain, remain, +
 persevere, persevere, +
 perseverance, perseverance, +
 maintain, maintain, +
 insist, insist, +
 implicit, implicit, +
 reflection, reflection, +
 expose, expose, +
 exposure, exposure, +
 reveal, reveal, +
 revelation, revelation, +
 unveil, unveil, +
 show, show, +
 transpire, transpire, +
 profess, profess, +
 signify, signify, +
 bare, bare, +
 exhibit, exhibit, +
 leak, leak, +
 divulge, divulge, +
 denote, denote, +
 indicate, indicate, +
 betray, betray, +
 irrepressible, irrepressible, +
 unruly, unruly, +
 operate, operate, +
 handle, handle, +
 intelligible, intelligible, +
 evident, evident, +
 explicit, explicit, +
 elusive, elusive, +
 mysterious, mysterious, +
 ignorant, ignorant, +
 ignorance, ignorance, +
 grasp, grasp, +
 comprehend, comprehend, +
 comprehensive, comprehensive, +
 rapacious, rapacious, +
 strip, strip, +
 bereave, bereave, +
 loot, loot, +
 harry, harry, +
 ravage, ravage, +
 grind, grind, +
 torment, torment, +
 equivocal, equivocal, +
 enigma, enigma, +
 enigmatic, enigmatic, +
 maze, maze, +
 labyrinth, labyrinth, +
 riddle, riddle, +
 puzzle, puzzle, +
 elude, elude, +
 captivate, captivate, +
 enthrall, enthrall, +
 bewilder, bewilder, +
 perplex, perplex, +
 tangle, tangle, +
 confound, confound, +
 entangle, entangle, +
 fascinate, fascinate, +
 blur, blur, +
 dazzle, dazzle, +
 dogmatic, dogmatic, +
 illegible, illegible, +
 pending, pending, +
 resolve, resolve, +
 resolved, resolved, +
 determine, determine, +
 determination, determination, +
 discretion, discretion, +
 decide, decide, +
 deem, deem, +
 vindicate, vindicate, +
 discern, discern, +
 assert, assert, +
 conclude, conclude, +
 affirm, affirm, +
 breakdown, breakdown, +
 collapse, collapse, +
 breach, breach, +
 shatter, shatter, +
 scrap, scrap, +
 fragment, fragment, +
 fracture, fracture, +
 rupture, rupture, +
 crumble, crumble, +
 squash, squash, +
 crash, crash, +
 ravage, ravage, +
 raze, raze, +
 demolish, demolish, +
 disfigure, disfigure, +
 frustrate, frustrate, +
 smash, smash, +
 devastate, devastate, +
 devastation, devastation, +
 disrupt, disrupt, +
 mangle, mangle, +
 spoil, spoil, +
 engulf, engulf, +
 devour, devour, +
 crumple, crumple, +
 crush, crush, +
 disintegration, disintegration, +
 rift, rift, +
 ruins, ruins, +
 compulsive, compulsive, +
 pressure, pressure, +
 tease, tease, +
 compel, compel, +
 constrain, constrain, +
 accelerate, accelerate, +
 laborious, laborious, +
 industrious, industrious, +
 assiduous, assiduous, +
 diligent, diligent, +
 serious, serious, +
 cordial, cordial, +
 deliberate, deliberate, +
 attempt, attempt, +
 effort, effort, +
 endeavor, endeavor, +
 strive, strive, +
 reluctant, reluctant, +
 tolerate, tolerate, +
 tolerable, tolerable, +
 insufferable, insufferable, +
 undergo, undergo, +
 stand, stand, +
 endure, endure, +
 abide, abide, +
 permit, permit, +
 permissible, permissible, +
 permissive, permissive, +
 tacit, tacit, +
 reception, reception, +
 connive, connive, +
 connivance, connivance, +
 concede, concede, +
 concession, concession, +
 recognize, recognize, +
 recognition, recognition, +
 nod, nod, +
 confess, confess, +
 approve, approve, +
 comply, comply, +
 concur, concur, +
 avow, avow, +
 ratify, ratify, +
 guarantee, guarantee, +
 endorse, endorse, +
 corroborate, corroborate, +
 grant, grant, +
 admit, admit, +
 acknowledge, acknowledge, +
 affirm, affirm, +
 pardon, pardon, +
 innocent, innocent, +
 regardless, regardless, +
 heedless, heedless, +
 erroneous, erroneous, +
 neglect, neglect, +
 negligent, negligent, +
 negligence, negligence, +
 ridiculous, ridiculous, +
 slovenly, slovenly, +
 credulous, credulous, +
 useless, useless, +
 futile, futile, +
 offhand, offhand, +
 fallible, fallible, +
 defect, defect, +
 defective, defective, +
 drawback, drawback, +
 flaw, flaw, +
 oblivion, oblivion, +
 blunder, blunder, +
 expire, expire, +
 overlook, overlook, +
 ignore, ignore, +
 omit, omit, +
 absurd, absurd, +
 abortive, abortive, +
 err, err, +
 consider, consider, +
 considerate, considerate, +
 meditative, meditative, +
 tender, tender, +
 conscious, conscious, +
 recollection, recollection, +
 ruminate, ruminate, +
 speculate, speculate, +
 ponder, ponder, +
 embalm, embalm, +
 contemplate, contemplate, +
 elevate, elevate, +
 recall, recall, +
 haunt, haunt, +
 venture, venture, +
 risk, risk, +
 probe, probe, +
 explore, explore, +
 seek, seek, +
 grope, grope, +
 ferret, ferret, +
 tardy, tardy, +
 perpetuate, perpetuate, +
 detain, detain, +
 delay, delay, +
 prolong, prolong, +
 protract, protract, +
 retard, retard, +
 postpone, postpone, +
 defer, defer, +
 adjourn, adjourn, +
 inclined, inclined, +
 prone, prone, +
 habitually, habitually, +
 bent, bent, +
 aptitude, aptitude, +
 propensity, propensity, +
 trend, trend, +
 penchant, penchant, +
 custom, custom, +
 accustomed, accustomed, +
 interest, interest, +
 tend, tend, +
 inure, inure, +
 temperance, temperance, +
 bondage, bondage, +
 deterrent, deterrent, +
 neutralize, neutralize, +
 check, check, +
 circumscribe, circumscribe, +
 shackle, shackle, +
 fetter, fetter, +
 restrict, restrict, +
 restrain, restrain, +
 confine, confine, +
 quell, quell, +
 curb, curb, +
 bound, bound, +
 leash, leash, +
 literate, literate, +
 chalk, chalk, +
 transcript, transcript, +
 scholarship, scholarship, +
 article, article, +
 ken, ken, +
 stationery, stationery, +
 brochure, brochure, +
 pamphlet, pamphlet, +
 credit, credit, +
 semester, semester, +
 thesis, thesis, +
 discourse, discourse, +
 margin, margin, +
 term, term, +
 discipline, discipline, +
 commence, commence, +
 cram, cram, +
 academic, academic, +
 heredity, heredity, +
 heritage, heritage, +
 bequest, bequest, +
 legacy, legacy, +
 relic, relic, +
 remains, remains, +
 stray, stray, +
 roam, roam, +
 stalk, stalk, +
 rumble, rumble, +
 scale, scale, +
 ascend, ascend, +
 budge, budge, +
 locomote, locomote, +
 traverse, traverse, +
 stroll, stroll, +
 insinuate, insinuate, +
 zigzag, zigzag, +
 motion, motion, +
 unquenchable, unquenchable, +
 lag, lag, +
 subjection, subjection, +
 overcome, overcome, +
 surpass, surpass, +
 transcend, transcend, +
 surmount, surmount, +
 precede, precede, +
 vanquish, vanquish, +
 injurious, injurious, +
 asperse, asperse, +
 aspersion, aspersion, +
 indignity, indignity, +
 malign, malign, +
 defame, defame, +
 disparage, disparage, +
 humiliate, humiliate, +
 slander, slander, +
 insult, insult, +
 satirical, satirical, +
 sardonic, sardonic, +
 sarcastic, sarcastic, +
 sarcasm, sarcasm, +
 cynical, cynical, +
 mock, mock, +
 taunt, taunt, +
 jeer, jeer, +
 flout, flout, +
 sneer, sneer, +
 deride, deride, +
 gibe, gibe, +
 clamor, clamor, +
 exclaim, exclaim, +
 exhale, exhale, +
 howl, howl, +
 acclaim, acclaim, +
 counsel, counsel, +
 propose, propose, +
 proposal, proposal, +
 offer, offer, +
 recommend, recommend, +
 remind, remind, +
 suggest, suggest, +
 mention, mention, +
 advice, advice, +
 advise, advise, +
 advance, advance, +
 submit, submit, +
 reciprocal, reciprocal, +
 correspondence, correspondence, +
 liaison, liaison, +
 propagate, propagate, +
 communicate, communicate, +
 impart, impart, +
 remit, remit, +
 consort, consort, +
 disseminate, disseminate, +
 tip, tip, +
 bombastic, bombastic, +
 pretentious, pretentious, +
 boast, boast, +
 boastful, boastful, +
 vanity, vanity, +
 conceit, conceit, +
 exaggerate, exaggerate, +
 brag, brag, +
 imperative, imperative, +
 bidding, bidding, +
 prescription, prescription, +
 rally, rally, +
 disband, disband, +
 distribute, distribute, +
 assign, assign, +
 instruct, instruct, +
 expedite, expedite, +
 dispatch, dispatch, +
 nominate, nominate, +
 evacuate, evacuate, +
 summon, summon, +
 destine, destine, +
 designate, designate, +
 monitor, monitor, +
 accredit, accredit, +
 culpable, culpable, +
 critical, critical, +
 censure, censure, +
 reproach, reproach, +
 chide, chide, +
 decry, decry, +
 deprecate, deprecate, +
 castigate, castigate, +
 denounce, denounce, +
 condemn, condemn, +
 berate, berate, +
 rap, rap, +
 rebuke, rebuke, +
 blame, blame, +
 repudiate, repudiate, +
 hoarse, hoarse, +
 colloquial, colloquial, +
 dumb, dumb, +
 hubbub, hubbub, +
 dialogue, dialogue, +
 nonsense, nonsense, +
 excuse, excuse, +
 compliment, compliment, +
 gossip, gossip, +
 oration, oration, +
 hearsay, hearsay, +
 interrupt, interrupt, +
 rumble, rumble, +
 gabble, gabble, +
 solicit, solicit, +
 declaim, declaim, +
 confide, confide, +
 refer, refer, +
 chat, chat, +
 grumble, grumble, +
 equivocate, equivocate, +
 coax, coax, +
 outwit, outwit, +
 effuse, effuse, +
 accost, accost, +
 account, account, +
 exposition, exposition, +
 enunciate, enunciate, +
 narrate, narrate, +
 insinuate, insinuate, +
 cover, cover, +
 convey, convey, +
 illuminate, illuminate, +
 render, render, +
 elucidate, elucidate, +
 clarify, clarify, +
 expound, expound, +
 construe, construe, +
 delineate, delineate, +
 exemplify, exemplify, +
 depict, depict, +
 emphasize, emphasize, +
 illustrate, illustrate, +
 highlight, highlight, +
 specify, specify, +
 elaborate, elaborate, +
 divulge, divulge, +
 proclaim, proclaim, +
 cite, cite, +
 reiterate, reiterate, +
 accentuate, accentuate, +
 uniform, uniform, +
 unanimity, unanimity, +
 unanimous, unanimous, +
 reconcile, reconcile, +
 reconciliation, reconciliation, +
 convention, convention, +
 pact, pact, +
 consult, consult, +
 negotiate, negotiate, +
 confer, confer, +
 placate, placate, +
 eloquent, eloquent, +
 eloquence, eloquence, +
 debate, debate, +
 debatable, debatable, +
 squabble, squabble, +
 dispute, dispute, +
 retort, retort, +
 brawl, brawl, +
 bicker, bicker, +
 haggle, haggle, +
 gainsay, gainsay, +
 refute, refute, +
 disprove, disprove, +
 controvert, controvert, +
 controversy, controversy, +
 controversial, controversial, +
 contradict, contradict, +
 contradictory, contradictory, +
 contravene, contravene, +
 sedate, sedate, +
 tranquil, tranquil, +
 placid, placid, +
 static, static, +
 serene, serene, +
 serenity, serenity, +
 still, still, +
 lull, lull, +
 disgraced, disgraced, +
 dingy, dingy, +
 messy, messy, +
 slovenly, slovenly, +
 frowzy, frowzy, +
 obscene, obscene, +
 indecent, indecent, +
 impure, impure, +
 blemish, blemish, +
 smear, smear, +
 defile, defile, +
 spot, spot, +
 incompetent, incompetent, +
 unbecoming, unbecoming, +
 inept, inept, +
 unseemly, unseemly, +
 ineligible, ineligible, +
 impropriety, impropriety, +
 fervent, fervent, +
 rough, rough, +
 roughly, roughly, +
 intense, intense, +
 intensive, intensive, +
 intensely, intensely, +
 exorbitant, exorbitant, +
 probable, probable, +
 violent, violent, +
 drastic, drastic, +
 dead, dead, +
 deadly, deadly, +
 sharp, sharp, +
 categorical, categorical, +
 impetuous, impetuous, +
 vehement, vehement, +
 vehemence, vehemence, +
 burning, burning, +
 complete, complete, +
 completely, completely, +
 inordinate, inordinate, +
 considerable, considerable, +
 substantial, substantial, +
 grossly, grossly, +
 extremely, extremely, +
 nearly, nearly, +
 virtually, virtually, +
 hardly, hardly, +
 barely, barely, +
 profoundly, profoundly, +
 clean, clean, +
 entirely, entirely, +
 utterly, utterly, +
 somewhat, somewhat, +
 fairly, fairly, +
 absolute, absolute, +
 radical, radical, +
 sheer, sheer, +
 pure, pure, +
 unblemished, unblemished, +
 innocent, innocent, +
 impeccable, impeccable, +
 perfect, perfect, +
 virtuous, virtuous, +
 chaste, chaste, +
 colossal, colossal, +
 spacious, spacious, +
 expansive, expansive, +
 prodigious, prodigious, +
 massive, massive, +
 enormous, enormous, +
 mighty, mighty, +
 vast, vast, +
 tremendous, tremendous, +
 immense, immense, +
 titanic, titanic, +
 commodious, commodious, +
 broad, broad, +
 loose, loose, +
 bulky, bulky, +
 capacious, capacious, +
 forth, forth, +
 entry, entry, +
 exit, exit, +
 outlet, outlet, +
 site, site, +
 destination, destination, +
 veer, veer, +
 spot, spot, +
 head, head, +
 valid, valid, +
 upright, upright, +
 unfair, unfair, +
 fairly, fairly, +
 guileless, guileless, +
 equitable, equitable, +
 detached, detached, +
 disinterested, disinterested, +
 unbiased, unbiased, +
 partially, partially, +
 impartial, impartial, +
 conscience, conscience, +
 conscientious, conscientious, +
 incorruptible, incorruptible, +
 decent, decent, +
 faithful, faithful, +
 justly, justly, +
 devotion, devotion, +
 integrity, integrity, +
 probity, probity, +
 fidelity, fidelity, +
 dedicate, dedicate, +
 sober, sober, +
 qualified, qualified, +
 rational, rational, +
 becoming, becoming, +
 reliable, reliable, +
 preferable, preferable, +
 available, available, +
 competent, competent, +
 fit, fit, +
 fitting, fitting, +
 feasible, feasible, +
 expedient, expedient, +
 pertinent, pertinent, +
 temperate, temperate, +
 suitable, suitable, +
 plausible, plausible, +
 methodical, methodical, +
 entitled, entitled, +
 correspondence, correspondence, +
 propriety, propriety, +
 tally, tally, +
 coincide, coincide, +
 suit, suit, +
 advisable, advisable, +
 adapt, adapt, +
 adaptable, adaptable, +
 adaptation, adaptation, +
 conformity, conformity, +
 incisive, incisive, +
 caustic, caustic, +
 acid, acid, +
 acrimonious, acrimonious, +
 acrid, acrid, +
 acrimony, acrimony, +
 cunning, cunning, +
 elegant, elegant, +
 handy, handy, +
 ingenious, ingenious, +
 exquisite, exquisite, +
 delicate, delicate, +
 refined, refined, +
 dexterous, dexterous, +
 crafty, crafty, +
 elaborate, elaborate, +
 remote, remote, +
 distant, distant, +
 gap, gap, +
 proximity, proximity, +
 distribute, distribute, +
 adjacent, adjacent, +
 access, access, +
 adjoin, adjoin, +
 adjoining, adjoining, +
 infallible, infallible, +
 inevitable, inevitable, +
 definite, definite, +
 confident, confident, +
 undoubtedly, undoubtedly, +
 ascertain, ascertain, +
 null, null, +
 empty, empty, +
 vacant, vacant, +
 void, void, +
 vacuum, vacuum, +
 evacuate, evacuate, +
 bare, bare, +
 sensible, sensible, +
 imposing, imposing, +
 obvious, obvious, +
 pronounced, pronounced, +
 sharp, sharp, +
 outstanding, outstanding, +
 emphatic, emphatic, +
 remarkable, remarkable, +
 impressively, impressively, +
 markedly, markedly, +
 especially, especially, +
 routine, routine, +
 extensive, extensive, +
 mediocre, mediocre, +
 hackneyed, hackneyed, +
 universal, universal, +
 catholic, catholic, +
 general, general, +
 generally, generally, +
 exhaustive, exhaustive, +
 average, average, +
 mostly, mostly, +
 usually, usually, +
 commonplace, commonplace, +
 tender, tender, +
 concrete, concrete, +
 portable, portable, +
 sloppy, sloppy, +
 congested, congested, +
 fraught, fraught, +
 sole, sole, +
 solitary, solitary, +
 quantity, quantity, +
 quantitative, quantitative, +
 excess, excess, +
 excessive, excessive, +
 redundant, redundant, +
 sporadic, sporadic, +
 numerous, numerous, +
 innumerable, innumerable, +
 countless, countless, +
 sufficient, sufficient, +
 skimpy, skimpy, +
 sparsely, sparsely, +
 bulk, bulk, +
 majority, majority, +
 block, block, +
 multitude, multitude, +
 sum, sum, +
 teem, teem, +
 pervade, pervade, +
 suffuse, suffuse, +
 abundant, abundant, +
 further, further, +
 adequate, adequate, +
 spare, spare, +
 times, times, +
 total, total, +
 volume, volume, +
 original, original, +
 unique, unique, +
 extraordinary, extraordinary, +
 erratic, erratic, +
 eccentric, eccentric, +
 bizarre, bizarre, +
 queer, queer, +
 quaint, quaint, +
 given, given, +
 particularly, particularly, +
 abnormal, abnormal, +
 odd, odd, +
 weird, weird, +
 sensitive, sensitive, +
 idiosyncrasy, idiosyncrasy, +
 trait, trait, +
 character, character, +
 characteristic, characteristic, +
 bear, bear, +
 destructive, destructive, +
 critical, critical, +
 perilous, perilous, +
 hazard, hazard, +
 hazardous, hazardous, +
 dangerous, dangerous, +
 endanger, endanger, +
 harmful, harmful, +
 deleterious, deleterious, +
 detriment, detriment, +
 detrimental, detrimental, +
 peril, peril, +
 jeopardy, jeopardy, +
 injure, injure, +
 maim, maim, +
 impair, impair, +
 threaten, threaten, +
 balmy, balmy, +
 delicious, delicious, +
 palatable, palatable, +
 fragrant, fragrant, +
 pungent, pungent, +
 odor, odor, +
 taste, taste, +
 aura, aura, +
 flavor, flavor, +
 aroma, aroma, +
 smell, smell, +
 stink, stink, +
 savor, savor, +
 acid, acid, +
 hectic, hectic, +
 impervious, impervious, +
 ponderous, ponderous, +
 crisp, crisp, +
 lofty, lofty, +
 slippery, slippery, +
 dense, dense, +
 crooked, crooked, +
 shallow, shallow, +
 ethereal, ethereal, +
 lithe, lithe, +
 sloppy, sloppy, +
 slim, slim, +
 tenuous, tenuous, +
 compact, compact, +
 supple, supple, +
 malleable, malleable, +
 depression, depression, +
 faint, faint, +
 ignoble, ignoble, +
 minuscule, minuscule, +
 negligible, negligible, +
 slight, slight, +
 trivial, trivial, +
 feeble, feeble, +
 trifling, trifling, +
 minute, minute, +
 insular, insular, +
 diminutive, diminutive, +
 tiny, tiny, +
 fine, fine, +
 mythical, mythical, +
 fictitious, fictitious, +
 imaginary, imaginary, +
 imaginative, imaginative, +
 illusion, illusion, +
 fantasy, fantasy, +
 superstition, superstition, +
 panacea, panacea, +
 figment, figment, +
 conceive, conceive, +
 occult, occult, +
 gratuitous, gratuitous, +
 indispensable, indispensable, +
 imperative, imperative, +
 tangible, tangible, +
 authentic, authentic, +
 genuine, genuine, +
 truly, truly, +
 actual, actual, +
 superb, superb, +
 pivot, pivot, +
 pivotal, pivotal, +
 foremost, foremost, +
 elementary, elementary, +
 fundamental, fundamental, +
 momentous, momentous, +
 vital, vital, +
 cardinal, cardinal, +
 crucial, crucial, +
 significant, significant, +
 dominant, dominant, +
 predominate, predominate, +
 predominantly, predominantly, +
 fateful, fateful, +
 primary, primary, +
 primarily, primarily, +
 essential, essential, +
 key, key, +
 optimum, optimum, +
 leading, leading, +
 chiefly, chiefly, +
 largely, largely, +
 sum, sum, +
 preference, preference, +
 forte, forte, +
 elite, elite, +
 gist, gist, +
 merit, merit, +
 motif, motif, +
 tenor, tenor, +
 principal, principal, +
 major, major, +
 sole, sole, +
 glorious, glorious, +
 splendid, splendid, +
 splendor, splendor, +
 grand, grand, +
 gorgeous, gorgeous, +
 radiant, radiant, +
 spectacular, spectacular, +
 solemn, solemn, +
 superb, superb, +
 magnificent, magnificent, +
 diverse, diverse, +
 diversify, diversify, +
 fickle, fickle, +
 manifold, manifold, +
 lavish, lavish, +
 profuse, profuse, +
 vary, vary, +
 various, various, +
 variation, variation, +
 variant, variant, +
 mutation, mutation, +
 transition, transition, +
 transform, transform, +
 enrich, enrich, +
 convert, convert, +
 copious, copious, +
 hostile, hostile, +
 diverge, diverge, +
 divergent, divergent, +
 belligerent, belligerent, +
 repulsive, repulsive, +
 offensive, offensive, +
 strife, strife, +
 feud, feud, +
 struggle, struggle, +
 strike, strike, +
 contend, contend, +
 compete, compete, +
 frown, frown, +
 parallel, parallel, +
 tantalize, tantalize, +
 rival, rival, +
 assail, assail, +
 fulminate, fulminate, +
 baste, baste, +
 repulse, repulse, +
 repel, repel, +
 emulate, emulate, +
 punch, punch, +
 thump, thump, +
 adverse, adverse, +
 impact, impact, +
 admonish, admonish, +
 stab, stab, +
 sheathe, sheathe, +
 insert, insert, +
 pierce, pierce, +
 transfix, transfix, +
 impale, impale, +
 penetrate, penetrate, +
 interject, interject, +
 punch, punch, +
 successful, successful, +
 incipient, incipient, +
 initiate, initiate, +
 initial, initial, +
 foremost, foremost, +
 original, original, +
 originally, originally, +
 primary, primary, +
 eventual, eventual, +
 ultimate, ultimate, +
 final, final, +
 progress, progress, +
 triumph, triumph, +
 culmination, culmination, +
 peak, peak, +
 process, process, +
 phase, phase, +
 condition, condition, +
 status, status, +
 result, result, +
 headway, headway, +
 onset, onset, +
 halt, halt, +
 develop, develop, +
 resume, resume, +
 exit, exit, +
 climax, climax, +
 emerge, emerge, +
 proceed, proceed, +
 commence, commence, +
 vanish, vanish, +
 launch, launch, +
 engender, engender, +
 beget, beget, +
 generate, generate, +
 terminate, terminate, +
 accomplished, accomplished, +
 conclude, conclude, +
 conclusive, conclusive, +
 advance, advance, +
 achieve, achieve, +
 detach, detach, +
 detached, detached, +
 solitude, solitude, +
 sever, sever, +
 rend, rend, +
 segregate, segregate, +
 disunite, disunite, +
 scatter, scatter, +
 cushion, cushion, +
 soothe, soothe, +
 relax, relax, +
 placate, placate, +
 console, console, +
 assuage, assuage, +
 mollify, mollify, +
 mitigate, mitigate, +
 slacken, slacken, +
 pacify, pacify, +
 rally, rally, +
 revive, revive, +
 revert, revert, +
 retract, retract, +
 retrieve, retrieve, +
 energize, energize, +
 restore, restore, +
 rehabilitate, rehabilitate, +
 recover, recover, +
 revoke, revoke, +
 refresh, refresh, +
 intricate, intricate, +
 complex, complex, +
 disarray, disarray, +
 confuse, confuse, +
 jumble, jumble, +
 shuffle, shuffle, +
 complicate, complicate, +
 befuddle, befuddle, +
 muddle, muddle, +
 assemble, assemble, +
 assembly, assembly, +
 party, party, +
 association, association, +
 gather, gather, +
 attend, attend, +
 convene, convene, +
 congregate, congregate, +
 accompany, accompany, +
 sprawl, sprawl, +
 broaden, broaden, +
 swell, swell, +
 expand, expand, +
 dilate, dilate, +
 augment, augment, +
 stick, stick, +
 sticky, sticky, +
 attachment, attachment, +
 cohere, cohere, +
 cling, cling, +
 adhere, adhere, +
 adherent, adherent, +
 constant, constant, +
 incessant, incessant, +
 coherent, coherent, +
 incoherent, incoherent, +
 ceaseless, ceaseless, +
 speedy, speedy, +
 swift, swift, +
 successive, successive, +
 consecutive, consecutive, +
 prompt, prompt, +
 fitful, fitful, +
 continually, continually, +
 gradually, gradually, +
 haunt, haunt, +
 frequency, frequency, +
 insufficient, insufficient, +
 scanty, scanty, +
 meager, meager, +
 needy, needy, +
 stingy, stingy, +
 devoid, devoid, +
 scarce, scarce, +
 forfeit, forfeit, +
 degenerate, degenerate, +
 decadence, decadence, +
 decline, decline, +
 languish, languish, +
 ebb, ebb, +
 flag, flag, +
 deplete, deplete, +
 degrade, degrade, +
 enervate, enervate, +
 informal, informal, +
 indefinite, indefinite, +
 casual, casual, +
 potential, potential, +
 contingent, contingent, +
 dispensable, dispensable, +
 occasional, occasional, +
 fortuitously, fortuitously, +
 haphazard, haphazard, +
 random, random, +
 doubtful, doubtful, +
 lottery, lottery, +
 accidental, accidental, +
 constrict, constrict, +
 dwindle, dwindle, +
 detract, detract, +
 contract, contract, +
