⊙ 词汇	♠释义	例句	=► 词根词缀
⊙ spend	♠n. 开支 v. 花费		=►  单音节词，无明显可拆分词根词缀（源自中古英语 spenden，表“花费、消耗”）；
⊙ cost	♠v. 需付费 n. 费用; 成本; 代价		=►  单音节词，无明显可拆分词根词缀（源自拉丁语 constare，表“站在一起、值……”，后简化为 cost，表“成本、花费”）；
⊙ expense	♠n. 费用, 花费		=►  ex-（表示“出、外”）+ -pens-（来自拉丁语 pendere，表示“称重、支付”，过去分词词干为 pens-，同根词：spend）+ -e（名词后缀，无实际含义），合起来即“向外支付的款项”，即“费用、开支”；
⊙ revenue	♠n. 税收; 收入; 财政收入		=►  re-（表示“回、再”）+ -ven-（来自拉丁语 venire，表示“来”，过去分词词干为 vent-，此处用 ven-）+ -ue（名词后缀，无实际含义），合起来即“回来的（钱）”，即“收入、税收”；
⊙ gross	♠adj. 总的; 毛的		=►  单音节词，无明显可拆分词根词缀（源自拉丁语 grossus，表“粗大的、总的”，后引申为“毛重、总收入”）；
⊙ recession	♠n. 经济衰退		=►  re-（表示“向后、退回”）+ -cess-（来自拉丁语 cedere，表示“走”，过去分词词干为 cess-，同根词：cede）+ -ion（名词后缀，表示“动作或状态”），合起来即“向后退的状态”，即“经济衰退”；
⊙ depression	♠n. 沮丧, 消沉; 萧条期, 不景气		=►  de-（表示“向下”）+ -press-（来自拉丁语 premere，表示“压”，过去分词词干为 press-，同根词：press）+ -ion（名词后缀，表示“动作或状态”），合起来即“向下压的状态”，即“抑郁、经济大萧条”；
⊙ crisis	♠n. 危机		=►  源自希腊语 krisis（“判断、转折点”），无英语原生词根词缀，直接记忆（表“危机”）；
⊙ security	♠n. 安全工作; 安全; 证券		=►  se-（表示“分开、离开”）+ -cur-（来自拉丁语 cura，表示“关心、忧虑”，同根词：secure）+ -ity（名词后缀，表示“性质或状态”），合起来即“远离忧虑的状态”，即“安全、保障”；
⊙ bond	♠n. 债券		=►  单音节词，无明显可拆分词根词缀（源自拉丁语 bundus，表“捆绑”，后引申为“债券、联结”）；
⊙ debt	♠n. 债务		=►  源自拉丁语 debitum（“应付款项”），核心词根为 -deb-（表示“欠、负债”，同根词：debit），无明显前缀，后缀 -t 为名词词尾，表“债务”；
⊙ deficit	♠n. 赤字, 逆差		=►  de-（表示“向下、不足”）+ -fic-（来自拉丁语 facere，表示“做、制作”，过去分词词干为 fic-，同根词：fact）+ -it（名词后缀，表示“结果”），合起来即“做得不足的结果”，即“赤字、亏损”；
⊙ inflation	♠n. 通货膨胀		=►  in-（表示“进入、使……”）+ -flat-（来自拉丁语 flare，表示“吹”，过去分词词干为 flat-，同根词：blow）+ -ion（名词后缀，表示“动作或状态”），合起来即“（货币）被吹大的状态”，即“通货膨胀”；
⊙ deflation	♠n. 通货紧缩		=►  de-（表示“向下、除去”）+ -flat-（来自拉丁语 flare，表示“吹”，同根词：inflation）+ -ion（名词后缀，表示“动作或状态”），合起来即“（货币）被吹小的状态”，即“通货紧缩”；
⊙ dwindle	♠v. 缩小, 减少		=►  无明显可拆分词根词缀（源自中古英语 dwindlen，表“逐渐减少”），属于不规则动词，直接记忆；
⊙ decrease	♠v. 减少, 减小		=►  de-（表示“向下、减少”）+ -creas-（来自拉丁语 crescere，表示“生长”，过去分词词干为 cret-，此处用 creas-，同根词：increase）+ -e（动词/名词后缀，无实际含义），合起来即“向下生长”，即“减少”；
⊙ downsize	♠v. 裁员; 使精简		=►  down-（表示“向下、变小”）+ -size（来自拉丁语 situs，表示“大小、尺寸”，同根词：size），合起来即“使尺寸变小”，即“（公司）裁员、缩减规模”；
⊙ decline	♠v. n. 下降		=►  de-（表示“向下”）+ -clin-（来自拉丁语 clinare，表示“倾斜”，同根词：incline）+ -e（动词/名词后缀，无实际含义），合起来即“向下倾斜”，即“下降、衰退”；
⊙ diminish	♠v. 减少; 贬低		=►  di-（由 dis- 变形而来，表示“分开、减少”）+ -min-（来自拉丁语 minuere，表示“变小、减少”，同根词：minute）+ -ish（动词后缀，表示“使……”），合起来即“使变小、使减少”，即“降低、削弱”；
⊙ reduce	♠v. 减少, 减小		=►  re-（表示“回、再”）+ -duc-（来自拉丁语 ducere，表示“引导、带领”，过去分词词干为 duct-，同根词：lead）+ -e（动词后缀，无实际含义），合起来即“引导（数量）回去”，即“减少、降低”；
⊙ increase	♠v. n. 增长; 增加		=►  in-（表示“向内、使……”）+ -creas-（来自拉丁语 crescere，表示“生长”，同根词：decrease）+ -e（动词/名词后缀，无实际含义），合起来即“使生长”，即“增加”；
⊙ increment	♠n. 增加量; 定期的加薪		=►  in-（表示“向内、使……”）+ -cre-（来自拉丁语 crescere，表示“生长”，同根词：increase）+ -ment（名词后缀，表示“动作或结果”），合起来即“生长的结果”，即“增量、增加”；
⊙ growth	♠n. 增长; 生长		=►  -grow-（来自古英语 growan，表示“生长”，同根词：grow）+ -th（名词后缀，表示“动作或状态”），表“生长、增长”；
⊙ escalate	♠v. 逐步升级; 不断恶化		=►  源自拉丁语 scala（“梯子”），核心词根为 -scal-（表示“梯子、等级”，同根词：scale）+ -ate（动词后缀，表示“使……”），合起来即“像爬梯子一样上升”，即“升级、上升”；
⊙ expand	♠v. 扩充, 扩大; 扩展		=►  ex-（表示“出、外”）+ -pand-（来自拉丁语 pandere，表示“展开、伸展”，同根词：spread）+ -d（动词词尾，无实际含义），合起来即“向外展开”，即“扩大、扩展”；
⊙ influx	♠n. 流入, 涌进		=►  in-（表示“进入、向内”）+ -flux（来自拉丁语 fluere，表示“流动”，同根词：flow），合起来即“向内流动”，即“流入、涌入”；
⊙ affluent	♠adj. 富裕的; 富足的		=►  af-（由 ad- 变形而来，加强语气，无实际含义）+ -flu-（来自拉丁语 fluere，表示“流动”，同根词：flux）+ -ent（形容词后缀，表示“具有……性质的”），合起来即“（财富）流动的”，即“富裕的、丰富的”；
⊙ enrich	♠v. 使富有; 充实		=►  en-（使动前缀，表示“使……”）+ -rich（来自古英语 ric，表示“富有的”，同根词：rich），合起来即“使富有”，即“充实、使富裕”；
⊙ sufficient	♠adj. 足够的		=►  suf-（由 sub- 变形而来，表示“在下面、足够”）+ -fici-（来自拉丁语 facere，表示“做、制作”，同根词：fact）+ -ent（形容词后缀，表示“具有……性质的”），合起来即“做得足够的”，即“足够的、充分的”；
⊙ adequate	♠adj. 足够的; 合格的		=►  ad-（加强语气，无实际含义）+ -equ-（来自拉丁语 aequus，表示“平等的、相等的”，同根词：equal）+ -ate（形容词后缀，表示“具有……性质的”），合起来即“与（需求）相等的”，即“足够的、适当的”；
⊙ spare	♠adj. 多余的, 空闲的 v. 剩余		=►  单音节词，无明显可拆分词根词缀（源自拉丁语 parare，表“准备、留出”，后引申为“多余的、备用的”）；
⊙ saving	♠n. 节省; 存款		=►  -save-（来自拉丁语 salvare，表示“拯救、保留”，同根词：save）+ -ing（名词/形容词后缀，作名词时表“储蓄”，作形容词时表“节省的”）；
⊙ redundant	♠adj. 多余的; 被裁剪的		=►  re-（表示“再、重复”）+ -dunt-（来自拉丁语 dumare，表示“溢出、多余”）+ -ant（形容词后缀，表示“具有……性质的”），合起来即“重复而多余的”，即“多余的、冗余的”；
⊙ lack	♠n. 缺乏, 不足 v. 缺少, 没有		=►  单音节词，无明显可拆分词根词缀（源自中古英语 lak，表“缺乏、不足”）；
⊙ company	♠n. 公司		=►  com-（表示“一起、共同”）+ -pan-（来自拉丁语 panis，表示“面包”，同根词：pantry）+ -y（名词后缀，表示“场所或团体”），合起来即“一起吃面包的团体”，即“公司、同伴”；
⊙ firm	♠n. 公司 v. 坚定的; 坚固的		=►  单音节词，无明显可拆分词根词缀（源自拉丁语 firmus，表“坚固的”，后引申为“公司”，因“公司”需“稳固”经营）；
⊙ enterprise	♠n. 企业, 公司; 创业; 创业精神		=►  en-（使动前缀，表示“使……”）+ -terp-（来自拉丁语 tripudiare，表示“跳舞、庆祝”，后引申为“努力、尝试”）+ -prise（来自法语 prendre，表示“拿、抓住”，同根词：prison），合起来即“抓住机会努力（做事）”，即“企业、事业”。
⊙ agent	♠n. 代理人, 代理商		=►  ag-（做、行动）+ -ent（表示人或物的名词后缀），字面含义“行动者”，引申为“代理人、代理商”
⊙ entity	♠n. 实体		=►  ent-（存在、是，来自拉丁语esse“存在”）+ -ity（表示性质或状态的名词后缀），含义“存在的事物、实体”
⊙ invest	♠v. 投资; 投入		=►  in-（进入、使）+ vest（穿衣、授予，原指“为公职人员授予服饰/权力”），引申为“投入（资金等）、投资”
⊙ input	♠n. 输入; 投入		=►  in-（进入）+ put（放置，来自拉丁语putare“放置、计算”），含义“输入（数据、资源等）”
⊙ product	♠n. 产品; 产物		=►  pro-（向前、出来）+ -duct（引导，来自拉丁语ducere“引导”），字面“向前引导出的事物”，即“产品、产物”
⊙ acquisition	♠n. 获得; 并购		=►  ac-（加强语气）+ quisit-（寻求、获取，来自拉丁语quaerere“寻求”）+ -ion（名词后缀），含义“获得、收购”
⊙ goods	♠n. 商品, 货物		=►  无明确复杂词根，来自古英语gōd“好的”，复数形式特指“有价值的物品、商品”（注：单数good表“好处”，复数goods表“商品”）
⊙ cargo	♠n. 货物		=►  来自西班牙语cargo“装载物”，源自拉丁语carricare“装载”（与car“车”同源，词根car- 表“运输工具”），含义“（船、飞机等的）货物”
⊙ insure	♠v. 确保; 给…上保险		=►  in-（使）+ sure（确定的、安全的，来自拉丁语securus“安全的”），含义“使安全、给…投保”
⊙ guarantee	♠v. 担保; 确保 n. 保证; 保修单; 担保金, 担保物		=►  源自古法语garantir“担保”，词根gar-（保护、担保）+ -ee（表“受动者”，此处后缀经演变简化），含义“保证、担保”
⊙ reliable	♠adj. 可信赖的; 可靠的		=►  re-（重复、回）+ li-（捆绑，来自拉丁语ligare“捆绑”）+ -able（可…的形容词后缀），字面“可反复捆绑的”，引申为“可靠的、可信赖的”
⊙ negotiation	♠n. 谈判, 协商		=►  neg-（不）+ oti-（闲暇，来自拉丁语otium“闲暇”）+ -ation（名词后缀），原指“不闲着（讨论）”，引申为“谈判、协商”
⊙ attend	♠v. 出席, 参加		=►  at-（加强语气，=ad-）+ tend（伸展、趋向，来自拉丁语tendere“伸展”），含义“伸展注意力、专注于”，即“出席、关注”
⊙ absent	♠adj. 缺席的, 不在场的, 心不在焉的		=►  ab-（离开、偏离）+ sent（存在、在场，来自拉丁语esse“存在”的过去分词sentis），含义“离开在场状态”，即“缺席的、不在场的”
⊙ sale	♠n. 卖, 销售; 销售额		=►  来自拉丁语salere“被拯救、被释放”，后引申为“商品被卖出（脱离卖家）”，无复杂后缀，直接表“销售、售卖”
⊙ wholesale	♠n. 批发		=►  whole（全部的）+ sale（销售），组合词，含义“成批销售的”，即“批发（的）”
⊙ auction	♠v. n. 拍卖		=►  来自拉丁语auctio“增加、抬高”，词根aug-（增加，如augment“扩大”）+ -ion（名词后缀），原指“通过抬高价格成交”，即“拍卖”
⊙ bid	♠v. n. 出价; 投标		=►  来自古英语biddan“请求、吩咐”，后引申为“拍卖中请求（出价）”，无复杂后缀，表“出价、投标”
⊙ deal	♠v. 买卖; 处理; 应付 n. 协议; 交易; 大量		=►  来自古英语dēlan“分配、分享”，后引申为“交易中分配利益”，无复杂后缀，表“交易、处理”
⊙ transaction	♠n. 交易, 业务		=►  trans-（穿过、跨越）+ act-（行动，来自拉丁语agere“行动”）+ -ion（名词后缀），字面“跨越双方的行动”，即“交易、业务”
⊙ turnover	♠n. 营业额; 流动率		=►  turn（转动、周转）+ over（越过、完成），组合词，含义“（资金、货物的）周转”，也指“人员流动率”
⊙ dump	♠v. 丢弃, 倾倒; 倾销		=►  源自中古荷兰语dompen“倾倒”，无明确拉丁词根，表“倾倒（垃圾）、倾销（商品）”
⊙ export	♠v. 出口 n. 出口; 出口商品		=►  ex-（出、向外）+ port（携带、运输，来自拉丁语portare“携带”），含义“向外运输（货物）”，即“出口（的）”
⊙ import	♠v. 进口 n. 进口; 进口商品		=►  im-（入、向内，=in-，因port首字母为p，连写时in-变im-）+ port（携带、运输），含义“向内运输（货物）”，即“进口（的）”
⊙ quota	♠n. 限额, 配额, 定额		=►  来自拉丁语quota pars“多少部分”，词根quot-（多少、数量，如quantity“数量”）+ -a（名词后缀，表“部分”），含义“规定的数量、配额”
⊙ share	♠n. 股份, 股票; 一份 v. 分享; 共享; 分担		=►  来自古英语sceran“分割、切开”，后引申为“分割后的部分”，无复杂后缀，表“份额、股份；分享”
⊙ benefit	♠n. 好处; 益处 v. 有利于; 获益		=►  bene-（好的，如benevolent“善意的”）+ fit-（做、行动，来自拉丁语facere“做”），字面“做好事”，引申为“利益、好处；使受益”
⊙ interest	♠n. 兴趣; 利益; 利息 v. 使感兴趣		=►  inter-（在…之间）+ est-（存在、是，来自拉丁语esse“存在”），原指“在（人与人）之间存在的关联”，引申为“兴趣、利益；利息”
⊙ dividend	♠n. 股息, 红利		=►  di-（分开，=dis-）+ vid-（分割，来自拉丁语videre“看见、分割”，如divide“分开”）+ -end（表“结果”的名词后缀），字面“分割后的结果”，即“股息、红利”
⊙ stock	♠n. 股本; 股票; 库存		=►  来自古英语stoc“树干、根基”，后引申为“储存的货物（如树干般作为基础）”，无复杂后缀，表“库存、股票”
⊙ account	♠n. 账户; 解释		=►  ac-（加强语气）+ count（计算，来自拉丁语computare“计算”），含义“详细计算的记录”，即“账户、账目；解释”
⊙ deposit	♠n. 存款; 押金		=►  de-（向下、使）+ posit（放置，来自拉丁语ponere“放置”的过去分词positus），字面“向下放置（资金/物品）”，即“存款、押金；存放”
⊙ installment	♠n. (分期付款的)一期付款		=►  in-（进入）+ stall（位置、场所，来自拉丁语stallum“摊位”）+ -ment（名词后缀），原指“进入（付款）阶段”，引申为“分期付款（的一期）”
⊙ cheque	♠n. 支票		=►  来自法语cheque“支票”，源自拉丁语specie“种类、样式”（原指“有特定样式的票据”），无复杂词根拆分，表“支票”（美式拼写为check）
⊙ cash	♠n. 现金 v. 兑现(支票)		=►  来自古法语caisse“钱箱”，源自拉丁语capsa“盒子”，无复杂后缀，表“现金、现款”
⊙ coin	♠n. 硬币		=►  来自拉丁语cuneus“楔子”（早期硬币为楔形），后经演变特指“硬币”，无复杂后缀
⊙ shilling	♠n. 先令		=►  来自古英语scilling“一种货币单位”，为日耳曼语族特有词汇，无明确拉丁词根，表“先令”（旧时英国等国的货币单位）
⊙ copper	♠n. 铜; 铜牌		=►  直接源自拉丁语cuprum“铜”（因古代铜主要产自塞浦路斯岛，拉丁语称该岛为Cyprium），无复杂后缀，表“铜；铜币”
⊙ treasure	♠n. 金银财宝; 宝物, 珍品		=►  treas-（储存，来自拉丁语thesaurus“宝库”，与希腊语thesauros“仓库”同源）+ -ure（名词后缀，表“事物”），含义“储存的珍宝”，即“财富、宝藏”
⊙ wealth	♠n. 财富; 丰富		=►  weal-（福利、幸福，来自古英语weal“福利”）+ -th（表“状态或性质”的名词后缀，如health“健康”），含义“带来幸福的事物”，即“财富、财产”
⊙ estate	♠n. 地产; 遗产		=►  e-（加强语气，=ex-）+ state（状态、情况，来自拉丁语status“状态”），原指“（土地等的）存在状态”，引申为“地产、财产”
⊙ possess	♠v. 拥有, 占有; 影响, 控制		=►  pos-（放置，来自拉丁语ponere“放置”的过去分词positus）+ -sess（持有、占据，来自拉丁语sedere“坐”，表“坐定持有”），组合为“放置并持有”，即“拥有、占有”
⊙ legacy	♠n. 遗赠, 遗产		=►  来自拉丁语legatum“遗赠物”，词根leg-（派遣、委托，如legate“使者”）+ -acy（名词后缀，表“事物”），含义“委托传承的事物”，即“遗产、遗留问题”
⊙ descend	♠v. 下降, 下来		=►  de-（向下）+ scend（攀爬，来自拉丁语scandere“攀爬”，如ascend“上升”），含义“向下攀爬”，即“下降、遗传”
⊙ worthy	♠adj. 有价值的; 值得…的		=►  worth（价值、值得，来自古英语weorþ“有价值的”）+ -y（表“具有…性质”的形容词后缀），含义“有价值的、值得的”
⊙ valuable	♠adj. 很值钱的, 贵重的; 很重要的		=►  valu-（价值，来自拉丁语valere“强壮、有价值”，如value“价值”）+ -able（可…的形容词后缀），含义“有价值的、珍贵的”
⊙ cheap	♠adj. 便宜的, 廉价的		=►  来自古英语ceap“交易、购买”，后引申为“交易中价格低的”，无复杂后缀，表“便宜的、廉价的”
⊙ incentive	♠n. 刺激, 激励		=►  in-（使）+ cent-（唱歌、呼喊，来自拉丁语canere“唱歌”，原指“用呼喊鼓励”）+ -ive（形容词/名词后缀），引申为“激励（的）、刺激（的）”
⊙ accelerate	♠v. 加速		=►  ac-（加强语气）+ celer-（快、迅速，来自拉丁语celer“快的”，如celerity“迅速”）+ -ate（动词后缀，表“使…”），含义“使变快”，即“加速、促进”
⊙ prompt	♠adj. 迅速的 v. 促使		=►  来自拉丁语promptus“向前的、准备好的”，词根pro-（向前）+ mpt-（拿、取，来自拉丁语emere“拿”的变体），含义“向前拿（出来）的”，即“迅速的、及时的；促使”
⊙ salary	♠n. 工资; 薪水		=►  来自拉丁语salarium“盐钱”（古代罗马士兵的津贴常用来买盐，盐在当时是稀缺品），词根sal-（盐，如salty“咸的”）+ -ary（名词后缀，表“物品”），含义“工资、薪水”
⊙ income	♠n. 收入		=►  in-（进入）+ come（来），组合词，含义“进来的（钱）”，即“收入、所得”
⊙ wage	♠n. 工钱; 工资		=►  来自古法语gage“抵押、担保”，后引申为“雇主担保给雇员的报酬”，无复杂词根拆分，表“工资、报酬”（常指计时/计件工资）
⊙ payment	♠n. 支付; 支付的款项; 付款额		=►  pay（支付，来自拉丁语pacare“安抚、清偿”，原指“清偿债务以安抚对方”）+ -ment（名词后缀），含义“支付的行为或金额”
⊙ refund	♠n. v. 退款		=►  re-（回、重新）+ fund（资金，来自拉丁语fundus“底部、基础”），含义“把资金退回去”，即“退款、退还”
⊙ reimburse	♠v. 赔偿, 补偿		=►  re-（回）+ im-（进入，=in-）+ burse（钱袋，来自拉丁语bursa“钱袋”），字面“把钱放回钱袋”，即“偿还、补偿”
⊙ payroll	♠n. 工资名单		=►  pay（支付）+ roll（名单、卷轴，原指“写在卷轴上的员工名单”），组合词，含义“工资表；发放的工资总额”
⊙ remuneration	♠n. 报酬		=►  re-（回、重新）+ muner-（礼物、报酬，来自拉丁语munus“礼物”）+ -ation（名词后缀），含义“作为回报的礼物”，即“报酬、酬劳”（较正式）
⊙ subsidy	♠n. 补贴; 津贴		=►  sub-（下、辅助）+ sid-（坐、停留，来自拉丁语sedere“坐”）+ -y（名词后缀），原指“辅助（产业等）使其稳定”，即“补贴、补助金”
⊙ earn	♠v. 赚得; 赢得; 获得		=►  来自古英语earnian“获得、挣得”，无明确拉丁词根，表“赚得、赢得”（常指通过劳动获得）
⊙ undertaking	♠n. 任务, 事业; 许诺, 保证		=►  under-（下、承担）+ take（拿、接受）+ -ing（名词后缀），字面“承担下来的事”，即“事业、任务；承诺”
⊙ career	♠n. 职业, 事业; 职业生涯		=►  来自拉丁语carrus“马车”，后引申为“人生的旅程”，无复杂后缀，表“职业、生涯”
⊙ profession	♠n. 职业; 业内人士		=►  pro-（向前、公开）+ fession（声明、宣告，来自拉丁语fateri“承认、宣告”），原指“公开宣告从事某职业”，即“职业、专业”（常指需要专业技能的职业，如医生、律师）
⊙ occupation	♠n. 占领, 占据; 职业		=►  oc-（加强语气，=ob-）+ cup-（拿、占据，来自拉丁语capere“拿”）+ -ation（名词后缀），含义“占据（时间/精力）的事”，即“职业、工作；占据”
⊙ job	♠n. 职业, 工作		=►  词源不确定（可能来自中古英语jobbe“小块”，引申为“零散工作”），无复杂词根拆分，表“工作、职位”（泛指各类工作）
⊙ vocation	♠n. 职业; 使命感		=►  voc-（呼喊、召唤，来自拉丁语vocare“呼喊”，如voice“声音”）+ -ation（名词后缀），原指“被（使命感）召唤的工作”，即“职业、使命”（强调个人志向与职业的契合）
⊙ labour	♠n. 劳动, 体力劳动		=►  来自拉丁语labor“劳动、辛苦”，无复杂后缀，表“劳动、工作”（英式拼写，美式为labor）
⊙ workforce	♠n. 劳动力; 全体员工		=►  work（工作）+ force（力量、人员），组合词，含义“工作的人员群体”，即“劳动力、职工总数”
⊙ workaholic	♠n. 工作狂		=►  work（工作）+ -aholic（表示“对…上瘾的人”的后缀，源自alcoholic“酗酒者”），组合词，含义“工作狂”
⊙ personnel	♠n. 人员; 职员; 人事部门		=►  来自法语personnel“人员的”，源自拉丁语persona“人、角色”+ -el（表“集合”的名词后缀），含义“人员、员工”（常指组织中的全体人员）
⊙ clerk	♠n. 店员; 办事员; 接待员		=►  来自古英语clerc“学者、文书”（原指教会中会读写的人），无复杂词根拆分，表“职员、店员”
⊙ interview	♠n. 面试; 采访 v. 对…进行面试; 采访		=►  inter-（在…之间）+ view（看、观察，来自拉丁语videre“看见”），字面“在（双方）之间观察”，即“面试、采访”
⊙ resume	♠n. 简历; 履历; 摘要		=►  re-（重新）+ sume（拿、取，来自拉丁语sumere“拿取”，如consume“消耗”），字面“重新拿起（过往经历）”，即“简历、摘要”（注意发音：表“简历”时读/ˈrezəmeɪ/，表“重新开始”时读/rɪˈzjuːm/）
⊙ recommend	♠v. 推荐, 介绍; 劝告, 建议		=►  re-（加强语气）+ com-（共同、一起）+ mend（委托、推荐，来自拉丁语mandare“委托”），含义“共同委托（推荐）”，即“推荐、建议”
⊙ employ	♠v. 雇用; 采用; 利用		=►  em-（使，=in-）+ ploy（折叠、使用，来自拉丁语plicare“折叠”，原指“使（人员）被使用”），含义“雇佣、使用”
⊙ hire	♠v. 雇用; 租用 n. 租赁		=►  来自古英语hyrian“雇佣、租用”，无复杂词根拆分，表“雇佣、租用”（常指短期或临时雇佣）
⊙ fire	♠v. 解雇 n. 火		=►  来自古英语fȳr“火”，后引申为“像火一样‘赶走’”，即“解雇、开除”（注：核心含义为“火”，“解雇”是引申义）
⊙ lay-off	♠n. 解雇, 裁员; 歇工期		=►  lay（放置、使处于…状态）+ off（离开、停止），组合词，含义“（因业务调整等）临时解雇、裁员”
⊙ dismiss	♠v. 解雇; 解散		=►  dis-（离开、除去）+ miss（送、派，来自拉丁语mittere“发送”），字面“送走、打发走”，即“解雇、开除；驳回”
⊙ discharge	♠v. 解雇 n. 卸货		=►  dis-（离开、除去）+ charge（装载、负责，来自拉丁语carricare“装载”），字面“卸下装载物/责任”，即“解雇、释放；排放”
⊙ resign	♠v. 辞去, 辞职		=►  re-（回、重新）+ sign（签名、标记，来自拉丁语signare“签名”），原指“重新签名（放弃职位）”，引申为“辞职、放弃”
⊙ sack	♠v. 开除 n. 大口袋, 麻布袋		=►  来自法语sac“袋子”，原指“用袋子装走个人物品（离开岗位）”，引申为“解雇、开除”（口语化表达）
⊙ retire	♠v. 退休		=►  re-（回、退）+ tire（拉、拖，来自拉丁语tirāre“拉”），原指“拉（自己）退回”，引申为“退休、退职”
⊙ result	♠结果, 后果 v. 导致		=►  re-（回、向后）+ sult（跳跃，来自拉丁语salire“跳跃”，如saltation“跳跃”），字面“向后跳跃（的结果）”，即“结果、后果”
⊙ failure	♠n. 失败		=►  fail（失败、缺乏，来自拉丁语fallere“欺骗、使出错”）+ -ure（名词后缀，表“行为或结果”），含义“失败的行为或状态”
⊙ abortion	♠n. 人工流产; 中途失败		=►  ab-（离开、偏离）+ ort-（升起、出生，来自拉丁语oriri“升起、出生”，如origin“起源”）+ -ion（名词后缀），字面“偏离出生（过程）”，即“流产、堕胎”
⊙ loss	♠n. 遗失; 损失; 亏损		=►  来自古英语los“毁灭、损失”，为lose“失去”的名词形式，无复杂后缀，表“损失、亏损”
⊙ opportunity	♠n. 机会, 时机		=►  op-（对着、靠近，=ob-）+ port-（港口，来自拉丁语portus“港口”）+ -unity（名词后缀，表“状态”），原指“靠近港口（的时机）”（古代港口是重要的交易/行动地点），引申为“机会、时机”
⊙ chance	♠n. 机会; 可能性		=►  来自古法语cheance“运气、机会”，源自拉丁语cadentia“落下的（事物）”（指“偶然落下的机会”），无复杂词根拆分，表“机会、可能性”
⊙ choose	♠v. 选择		=►  来自古英语ceosan“选择、挑选”，无明确拉丁词根，表“选择、决定”（过去式为chose，过去分词为chosen）
⊙ change	♠n. 改变		=►  来自拉丁语cambire“交换、改变”（与古英语camb“梳子”同源，原指“梳子齿的排列变化”），无复杂后缀，表“改变、变化；零钱”
⊙ solve	♠v. 解答; 解决		=►  来自拉丁语solvere“解开、放松”，词根solv-（解开，如solution“解决方案”）+ 无复杂后缀，表“解决、解答”
⊙ develop	♠v. 发展; 开发		=►  de-（向下、除去）+ velop（包裹、覆盖，来自拉丁语volvere“滚动”，如envelope“信封”），字面“除去包裹（使其展开）”，引申为“发展、开发”
⊙ sustainable	♠adj. 可持续的		=►  sustain（支撑、维持，来自拉丁语sustinere“支撑”，词根sus-（下）+ tain-（拿，如contain“包含”））+ -able（可…的形容词后缀），含义“可维持的、可持续的”
⊙ improve	♠v. 改善, 改进, 提高		=►  im-（使，=in-）+ prove（证明、好，来自拉丁语probare“证明、测试”），原指“使（事物）被证明更好”，引申为“改善、提高”
⊙ manage	♠v. 管理; 设法做到		=►  来自拉丁语manus“手”（如manual“手工的”）+ 后缀-age（表“行为”），原指“用手操作、掌控”，引申为“管理、经营”
⊙ regulate	♠v. 控制; 调节; 管理		=►  reg-（统治、指导，来自拉丁语rex“国王”，如royal“皇家的”）+ -ulate（动词后缀，表“使符合规则”），含义“使符合统治/指导规则”，即“调节、规范”
⊙ sanction	♠n. 批准; 制裁 v. 批准; 对…实施制裁		=►  sanct-（神圣的、批准的，来自拉丁语sanctus“神圣的”，如sacred“神圣的”）+ -ion（名词后缀），原指“神圣的批准”，后引申为“批准；制裁”（注：可表积极“批准”或消极“制裁”，需结合语境）
⊙ coordinate	♠v. 调和, 协调 n. 坐标		=►  co-（共同、一起，=com-）+ ordin-（顺序、秩序，来自拉丁语ordo“顺序”，如order“顺序”）+ -ate（形容词/动词后缀），含义“使（多事物）有共同顺序”，即“协调（的）、配合（的）”
⊙ cooperate	♠v. 协作; 配合 n. 坐标		=►  co-（共同、一起）+ oper-（工作，来自拉丁语operari“工作”，如operate“操作”）+ -ate（动词后缀），含义“一起工作”，即“合作、协作”
⊙ collaborate	♠v. 合作		=►  col- (共同，一起，前缀，由com-变形而来，接l开头词根时使用) + labor (劳动，工作，词根) + -ate (动词后缀，表示“做，使成为”)
⊙ Chapter-17 法律法规	♠		=►
⊙ 单词	♠解释		=►
⊙ law	♠n. 法律; 规律; 定理		=►  本身为词根，意为“法律，法令”，无明显前后缀（古英语“lagu”演变而来，核心含义直接对应词根）
⊙ legal	♠adj. 法律的; 合法的		=►  leg (法律，词根，来源于拉丁语“lex, legis”，表示“法律”) + -al (形容词后缀，表示“与……相关的，具有……性质的”)
⊙ rule	♠n. 规则 v. 统治		=►  本身可作词根，意为“统治，规定，规则”，无明显前后缀（古法语“regle”演变，核心含义直接对应词根，也可理解为从“reg-”（统治，引导）词根简化而来）
⊙ regulation	♠n. 规则, 规定; 管理		=►  regul (统治，管理，规定，词根，来源于拉丁语“regula”，表示“规则，尺子”，由“reg-”（统治）延伸而来) + -ation (名词后缀，表示“行为，过程，结果或状态”)
⊙ item	♠n. 一项项目; 条目		=►  本身为词根，意为“项目，条款，物品”，无明显前后缀（拉丁语“item”原义“同样，又”，后引申为“逐个列出的项目”，核心含义直接对应词根）
⊙ treaty	♠n. 条约; 协议		=►  treat (对待，处理，谈判，词根，来源于拉丁语“tractare”，表示“处理，讨论”) + -y (名词后缀，表示“行为的结果，状态或事物”)
⊙ agreement	♠n. 协定; 同意		=►  a- (加强语气，前缀) + gree (同意，一致，词根，来源于拉丁语“gratus”，表示“愉快的，情愿的”，引申为“同意”) + -ment (名词后缀，表示“行为，结果或状态”)
